nombre_cancion,Artista,Popularidad,Fecha_de_lanzamiento,Genero,Subgenero,Bailabilidad,Energia,Modalidad,Habladas,Positividad,Tempo,Duracion_Sg
Makin' Moves,DJ DMD,6,1/01/1998,rap,southern hip hop,82%,66%,0,25%,75%,80,299
Shinin',DJ DMD,13,1/01/1998,rap,southern hip hop,77%,66%,0,15%,64%,8,289
Landmines,DJ DMD,7,1/01/1998,rap,southern hip hop,81%,67%,1,15%,57%,90,268
25 Lighters,DJ DMD,4,20/06/1905,rap,southern hip hop,83%,64%,0,26%,70%,167,288
Roll With It - Explicit Album Version,Three 6 Mafia,41,20/06/2006,rap,southern hip hop,81%,74%,1,54%,42%,80,182
Hard Hittaz - Explicit Album Version,Three 6 Mafia,23,20/06/2006,rap,southern hip hop,79%,86%,1,93%,65%,152,252
Hard Out Here for a Pimp,Three 6 Mafia,45,20/06/2006,rap,southern hip hop,85%,71%,1,62%,84%,160,169
Side 2 Side - feat. Bow Wow & Project Pat - Explicit,Three 6 Mafia,43,20/06/2006,rap,southern hip hop,83%,75%,1,11%,54%,169,214
Bouncin' Back (Bumpin' Me Against the Wall) (feat. Pharrell Williams) - Extended Version,Mystikal,42,18/12/2001,rap,southern hip hop,88%,90%,1,21%,75%,93,259
Shake Ya Ass,Mystikal,51,26/09/2000,rap,southern hip hop,91%,61%,1,32%,67%,98,256
Definition of God,Sean Price,26,8/08/2017,rap,southern hip hop,44%,89%,0,36%,42%,80,189
Crown of Thorns,Raekwon,12,24/03/2017,rap,southern hip hop,46%,84%,1,34%,60%,75,190
Visiting Hour,Raekwon,25,24/03/2017,rap,southern hip hop,57%,78%,1,11%,53%,87,197
What's on Your Mind,Sheek Louch,8,4/12/2015,rap,southern hip hop,84%,69%,1,59%,19%,110,176
Flesh,"Royce Da 5'9""",27,15/04/2016,rap,southern hip hop,60%,90%,1,32%,78%,139,211
Brown Guys,Talib Kweli,13,14/04/2017,rap,southern hip hop,70%,21%,0,24%,51%,86,151
Money Dance,Rick Ross,0,4/12/2015,rap,southern hip hop,68%,71%,0,15%,36%,87,457
Carol City,Rick Ross,0,4/12/2015,rap,southern hip hop,66%,78%,1,14%,26%,145,253
One Of Us,Rick Ross,0,4/12/2015,rap,southern hip hop,55%,75%,0,19%,20%,84,193
"Smile Mama, Smile",Rick Ross,0,4/12/2015,rap,southern hip hop,52%,71%,1,11%,33%,79,241
Idols Become Rivals,Rick Ross,50,17/03/2017,rap,southern hip hop,48%,72%,0,62%,40%,78,341
Trap Trap Trap,Rick Ross,52,17/03/2017,rap,southern hip hop,73%,84%,0,31%,35%,136,275
I Think She Like Me,Rick Ross,52,17/03/2017,rap,southern hip hop,63%,70%,1,26%,15%,85,242
Scientology,Rick Ross,41,17/03/2017,rap,southern hip hop,45%,84%,1,65%,44%,81,155
Hood Billionaire,Rick Ross,29,24/11/2014,rap,southern hip hop,46%,75%,1,15%,32%,95,237
Quintessential,Rick Ross,21,24/11/2014,rap,southern hip hop,81%,60%,0,32%,83%,123,193
Rich Is Gangsta,Rick Ross,0,1/01/2014,rap,southern hip hop,48%,75%,0,37%,32%,162,196
Nobody,Rick Ross,0,1/01/2014,rap,southern hip hop,64%,81%,0,26%,69%,84,281
The Devil Is A Lie,Rick Ross,1,1/01/2014,rap,southern hip hop,68%,83%,0,84%,61%,102,310
Sanctified,Rick Ross,0,1/01/2014,rap,southern hip hop,74%,52%,1,69%,23%,12,289
Blessing In Disguise,Rick Ross,0,1/01/2014,rap,southern hip hop,50%,71%,0,28%,46%,78,296
Pirates,Rick Ross,0,1/01/2012,rap,southern hip hop,61%,74%,1,32%,53%,142,203
3 Kings,Rick Ross,0,1/01/2012,rap,southern hip hop,62%,86%,1,29%,66%,87,261
Ashamed,Rick Ross,0,1/01/2012,rap,southern hip hop,50%,87%,0,35%,80%,154,256
Maybach Music IV,Rick Ross,0,1/01/2012,rap,southern hip hop,31%,87%,0,75%,23%,91,314
Sixteen,Rick Ross,0,1/01/2012,rap,southern hip hop,63%,63%,1,86%,12%,8,495
Amsterdam,Rick Ross,0,1/01/2012,rap,southern hip hop,58%,79%,1,99%,15%,8,224
911,Rick Ross,0,1/01/2012,rap,southern hip hop,61%,77%,0,41%,21%,135,329
So Sophisticated,Rick Ross,0,1/01/2012,rap,southern hip hop,68%,86%,1,30%,54%,77,247
Presidential,Rick Ross,0,1/01/2012,rap,southern hip hop,47%,78%,1,23%,19%,163,249
Touch'N You,Rick Ross,0,1/01/2012,rap,southern hip hop,55%,78%,0,59%,40%,82,252
Ten Jesus Pieces,Rick Ross,0,1/01/2012,rap,southern hip hop,43%,94%,1,59%,40%,160,411
You The Boss,Rick Ross,0,1/01/2011,rap,southern hip hop,72%,69%,1,15%,53%,141,280
Hold Me Back,Rick Ross,43,1/01/2012,rap,southern hip hop,44%,71%,1,14%,45%,125,267
Good Cop Bad Cop,Ice Cube,0,9/06/2017,rap,southern hip hop,71%,94%,1,24%,87%,91,207
True Colors/It's On,The Game,31,14/10/2016,rap,southern hip hop,51%,68%,1,78%,71%,181,334
The Juice,The Game,35,14/10/2016,rap,southern hip hop,58%,89%,0,16%,43%,143,227
Young Niggas,The Game,31,14/10/2016,rap,southern hip hop,68%,74%,1,27%,43%,83,248
The Soundtrack,The Game,30,14/10/2016,rap,southern hip hop,51%,84%,1,25%,17%,142,254
Baby You (feat. Jason Derulo),The Game,39,14/10/2016,rap,southern hip hop,55%,70%,0,26%,49%,156,304
All Eyez (feat. Jeremih) [Bonus Track],The Game,57,14/10/2016,rap,southern hip hop,42%,66%,1,25%,35%,76,215
I Grew Up On Wu-Tang,The Game,33,14/10/2016,rap,southern hip hop,59%,70%,0,42%,25%,77,175
92 Bars,The Game,44,14/10/2016,rap,southern hip hop,51%,79%,0,31%,80%,81,358
Red Nation,The Game,1,1/01/2011,rap,southern hip hop,41%,89%,1,32%,34%,82,229
Born In The Trap,The Game,0,1/01/2011,rap,southern hip hop,68%,86%,0,22%,54%,92,226
Ali Bomaye,The Game,0,1/01/2012,rap,southern hip hop,38%,68%,0,43%,24%,71,372
Jesus Piece,The Game,0,1/01/2012,rap,southern hip hop,49%,66%,1,30%,25%,82,233
Celebration,The Game,0,1/01/2012,rap,southern hip hop,69%,70%,1,27%,57%,148,288
I Remember,The Game,0,1/01/2012,rap,southern hip hop,70%,48%,1,32%,63%,137,281
A$AP Forever,A$AP Rocky,68,5/04/2018,rap,southern hip hop,47%,78%,0,12%,44%,125,233
Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,82,25/05/2018,rap,southern hip hop,85%,57%,0,14%,29%,8,205
Ruckus in B Minor,Wu-Tang Clan,41,28/11/2014,rap,southern hip hop,48%,91%,0,44%,62%,92,324
40th Street Black / We Will Fight,Wu-Tang Clan,30,28/11/2014,rap,southern hip hop,87%,65%,0,24%,43%,119,266
Keep Watch,Wu-Tang Clan,40,28/11/2014,rap,southern hip hop,76%,67%,1,36%,48%,94,265
The Genesis of the Omega,Sean Price,24,30/10/2012,rap,southern hip hop,59%,73%,0,19%,51%,79,120
Pyrex,Sean Price,25,30/10/2012,rap,southern hip hop,56%,78%,1,43%,64%,179,154
Price & Shining Armor,Sean Price,23,30/10/2012,rap,southern hip hop,39%,76%,0,33%,51%,83,184
Straight Music,Sean Price,25,30/10/2012,rap,southern hip hop,68%,56%,0,34%,53%,90,129
Hush,Sean Price,16,30/10/2012,rap,southern hip hop,35%,88%,0,60%,66%,83,155
Solomon Grundy,Sean Price,18,30/10/2012,rap,southern hip hop,45%,87%,1,21%,45%,79,228
BBQ Sauce,Sean Price,21,30/10/2012,rap,southern hip hop,46%,88%,1,41%,66%,80,185
Battering Bars,Sean Price,17,30/10/2012,rap,southern hip hop,59%,85%,0,35%,73%,79,172
APESHIT,The Carters,67,18/06/2018,rap,southern hip hop,71%,79%,1,27%,38%,160,264
Very Special,Wiz Khalifa,46,13/07/2018,rap,southern hip hop,82%,73%,1,39%,44%,75,166
Mr. Williams (feat. THEMXXNLIGHT & Curren$y) / Where is the Love,Wiz Khalifa,49,13/07/2018,rap,southern hip hop,59%,70%,0,26%,30%,123,399
BLACK EFFECT,The Carters,48,18/06/2018,rap,southern hip hop,50%,69%,1,45%,51%,147,315
LOVEHAPPY,The Carters,50,18/06/2018,rap,southern hip hop,65%,91%,1,23%,58%,81,229
Gonna Miss You,Rapsody,28,17/11/2016,rap,southern hip hop,52%,89%,1,38%,72%,8,175
Crown,Rapsody,27,17/11/2016,rap,southern hip hop,52%,74%,0,38%,31%,16,193
Tina Turner,Rapsody,26,17/11/2016,rap,southern hip hop,55%,75%,0,29%,59%,94,164
Tree of Life,Ab-Soul,36,24/06/2014,rap,southern hip hop,49%,62%,1,40%,37%,90,337
Laila’s Wisdom,Rapsody,36,22/09/2017,rap,southern hip hop,42%,74%,1,34%,36%,165,194
Power,Rapsody,42,22/09/2017,rap,southern hip hop,44%,85%,0,49%,60%,81,334
Sassy,Rapsody,30,22/09/2017,rap,southern hip hop,78%,65%,0,16%,55%,116,193
Black & Ugly,Rapsody,31,22/09/2017,rap,southern hip hop,68%,70%,0,41%,61%,80,249
The Drums (feat. Heather Victoria),Rapsody,16,28/08/2012,rap,southern hip hop,62%,73%,1,42%,60%,86,250
Ballin' Hot (Prod. by Khrysis),Rapsody,5,24/02/2012,rap,southern hip hop,63%,69%,0,52%,79%,8,203
Rollercoaster - Bonus Track (Explicit),Ludacris,28,1/01/2010,rap,southern hip hop,39%,68%,0,31%,42%,79,317
Feelin' So Sexy,Ludacris,26,1/01/2010,rap,southern hip hop,46%,68%,1,42%,39%,77,209
That New York,Fredro Starr,13,25/12/2013,rap,southern hip hop,54%,65%,1,32%,13%,176,198
Everyday Hell,Fredro Starr,14,25/12/2013,rap,southern hip hop,77%,55%,1,91%,27%,91,214
The Truth,Fredro Starr,7,25/12/2013,rap,southern hip hop,44%,77%,0,24%,32%,93,196
This Ain't My Day,Fredro Starr,9,25/12/2013,rap,southern hip hop,76%,71%,0,12%,40%,9,234
My Universe,La Coka Nostra,32,31/07/2012,rap,southern hip hop,36%,98%,0,39%,23%,84,240
Creed Of The Greedier,La Coka Nostra,38,31/07/2012,rap,southern hip hop,53%,90%,0,19%,75%,97,223
המוסד,La Coka Nostra,36,31/07/2012,rap,southern hip hop,59%,93%,1,80%,33%,89,196
Mind Your Business,La Coka Nostra,32,31/07/2012,rap,southern hip hop,52%,86%,0,39%,66%,124,275
Electronic Funeral,La Coka Nostra,26,31/07/2012,rap,southern hip hop,39%,90%,0,34%,55%,83,213
Letter To Ouisch,La Coka Nostra,22,31/07/2012,rap,southern hip hop,34%,89%,1,19%,24%,175,157
The Eyes Of Santa Muerte,La Coka Nostra,27,31/07/2012,rap,southern hip hop,55%,80%,1,97%,39%,94,271
Murder World,La Coka Nostra,27,31/07/2012,rap,southern hip hop,54%,90%,1,28%,66%,95,165
The Lion Roars,Stephen Marley,1,22/07/2016,rap,southern hip hop,58%,81%,0,84%,54%,155,310
The Lion Roars - Mayfield Version,Stephen Marley,0,22/07/2016,rap,southern hip hop,60%,81%,0,81%,93%,83,243
Wavybone,A$AP Rocky,57,26/05/2015,rap,southern hip hop,70%,64%,0,32%,38%,149,303
Angels,A$AP Rocky,1,11/01/2013,rap,southern hip hop,78%,75%,0,89%,52%,120,227
M'$ (feat. Lil Wayne),A$AP Rocky,56,26/05/2015,rap,southern hip hop,78%,63%,0,27%,19%,11,233
Lord Pretty Flacko Jodye 2 (LPFJ2),A$AP Rocky,68,26/05/2015,rap,southern hip hop,49%,72%,1,11%,57%,207,126
Electric Body,A$AP Rocky,62,26/05/2015,rap,southern hip hop,90%,60%,1,47%,53%,119,255
Power Up,"Noke D, D-Gotti, D-Reck, Tyte Eyes & Mike D",0,1/01/2004,rap,southern hip hop,91%,78%,1,30%,90%,8,242
Who Dat Mad,Big Steve,9,12/12/2000,rap,southern hip hop,76%,57%,0,31%,55%,84,230
Rubber Band Man,T.I.,53,19/08/2003,rap,southern hip hop,60%,77%,1,39%,63%,15,347
Choppaz,"Big Moe featuring D-Gotti, Noke D & D-Wreck",0,22/06/1905,rap,southern hip hop,90%,40%,1,27%,60%,99,332
Comin' Out Hard,8Ball & MJG,37,3/03/2015,rap,southern hip hop,88%,56%,1,25%,74%,86,270
Head Motion,Wreckshop Family,0,1/01/2004,rap,southern hip hop,79%,56%,0,15%,75%,75,285
It Was All a Dream,DJ Screw & The Screwed Up Click,2,12/02/2008,rap,southern hip hop,50%,74%,1,21%,89%,170,46
City Of Syrup,Big Moe,0,22/06/1905,rap,southern hip hop,89%,44%,1,12%,41%,104,261
I Must Be High,South Park Mexican,13,23/06/1905,rap,southern hip hop,81%,63%,1,13%,30%,81,284
Confidential Playa,Big Moe,7,1/01/2002,rap,southern hip hop,85%,64%,1,16%,87%,100,238
Tops Drop,Fat Pat,0,1/01/1998,rap,southern hip hop,91%,46%,1,13%,61%,93,252
The Way We Ball,Lil' Flip,42,19/08/2002,rap,southern hip hop,59%,64%,0,47%,55%,75,283
I'm Going to Live My Life,DJ Screw & The Screwed Up Click,2,12/02/2008,rap,southern hip hop,40%,84%,1,70%,77%,151,46
Heart Of A Hustler,Fat Pat,0,23/06/1905,rap,southern hip hop,74%,65%,1,27%,68%,168,326
Where I’m From - (Huggin’ Da Block) Feat. Z-ro,Big Pokey,12,6/08/2002,rap,southern hip hop,79%,65%,1,40%,77%,80,218
All About My Doe - Feat. Ronnie Spencer & Fat Pat,Pymp Tyte,22,20/07/1999,rap,southern hip hop,80%,81%,1,15%,86%,9,244
What’s Happen,Big Steve,11,12/12/2000,rap,southern hip hop,45%,70%,1,66%,39%,80,270
Hell Yeah - Feat. D-wreck & Tyte Eyez,Big Moe,19,16/07/1999,rap,southern hip hop,61%,89%,0,28%,79%,16,225
"I'm Bout It, Bout It",TRU,35,1/01/1995,rap,southern hip hop,42%,66%,0,32%,50%,75,332
Fat Freestyle,Fat Pat,3,27/11/2012,rap,southern hip hop,69%,59%,1,32%,61%,11,484
The Screwed Up Click,DJ Screw & The Screwed Up Click,0,12/02/2008,rap,southern hip hop,51%,72%,1,21%,98%,85,29
Pimp Tha Pen,DJ Screw,44,18/06/1905,rap,southern hip hop,83%,54%,1,33%,56%,1,193
Anythang,Devin The Dude,30,15/08/2013,rap,southern hip hop,69%,66%,0,47%,16%,140,341
Payin' Dues,Big Moe featuring Z-Ro,0,22/06/1905,rap,southern hip hop,55%,85%,0,28%,72%,98,234
The Way You Make Me Feel,DJ Screw & The Screwed Up Click,10,12/02/2008,rap,southern hip hop,70%,68%,0,48%,48%,72,360
Turn It Up,Chamillionaire,49,1/01/2005,rap,southern hip hop,86%,77%,1,27%,69%,166,274
Drop Yo Top,E.S.G. featuring Big Moe,0,1/01/1999,rap,southern hip hop,78%,79%,1,40%,76%,144,296
Wanna Know Who You Are,DJ Screw & The Screwed Up Click,8,12/02/2008,rap,southern hip hop,49%,61%,0,11%,34%,147,471
Sailin Da South,DJ Screw,38,18/06/1905,rap,southern hip hop,72%,55%,1,25%,43%,135,204
Barre Baby,Big Moe featuring Ronnetta Spencer,0,22/06/1905,rap,southern hip hop,77%,42%,0,21%,84%,64,179
If You Only Knew - Feat. Celicia Ward,Fat Pat,30,13/10/1998,rap,southern hip hop,78%,65%,0,17%,78%,84,282
Jammin Screw,Fat Pat,27,13/10/1998,rap,southern hip hop,84%,61%,0,13%,75%,96,224
N Luv Wit My Money,Paul Wall,3,24/06/1905,rap,southern hip hop,84%,59%,1,38%,71%,122,313
Full Time Player,Fat Pat,0,23/06/1905,rap,southern hip hop,79%,70%,1,10%,69%,80,318
Just A Dog,Big Moe,44,16/07/1999,rap,southern hip hop,63%,67%,1,19%,79%,160,253
Body Roc,Fat Pat,33,3/03/1998,rap,southern hip hop,73%,58%,1,14%,47%,17,339
Can You Feel Me Now,DJ Screw & The Screwed Up Click,4,12/02/2008,rap,southern hip hop,69%,51%,1,70%,40%,73,228
I'm Me,Lil Wayne,46,1/01/2007,rap,southern hip hop,46%,82%,0,27%,24%,150,295
Money On My Mind,Lil Wayne,51,1/01/2005,rap,southern hip hop,54%,77%,0,37%,66%,152,271
Drip Too Hard (Lil Baby & Gunna),Lil Baby,84,5/10/2018,rap,southern hip hop,90%,66%,0,29%,39%,112,145
Sold Out Dates (feat. Lil Baby),Gunna,5,16/04/2018,rap,southern hip hop,82%,55%,0,12%,32%,127,166
What I Did (feat. Kevin Gates),Yella Beezy,58,16/11/2018,rap,southern hip hop,45%,68%,0,22%,30%,122,285
Heartless (feat. Rick Ross & Bigga Rankin),YFN Lucci,57,3/03/2017,rap,southern hip hop,69%,72%,1,23%,33%,146,216
Thick (feat. 2 Chainz),O.T. Genasis,50,11/11/2016,rap,southern hip hop,84%,80%,1,83%,59%,155,210
Drop It Off (Feat. Eva Trill),Gucci Mane,20,11/12/2015,rap,southern hip hop,79%,43%,1,72%,20%,148,182
Trap House,Gucci Mane,35,27/06/1905,rap,southern hip hop,86%,55%,1,20%,33%,15,259
SportsCenter,Gucci Mane,20,11/12/2015,rap,southern hip hop,56%,42%,0,50%,38%,148,259
"Who, Want, War",Pastor Troy,15,1/03/2005,rap,southern hip hop,56%,84%,0,20%,43%,168,293
Where Them Niggaz At?,Pastor Troy,9,1/03/2005,rap,southern hip hop,81%,87%,0,25%,56%,142,213
Equipped in This Game?,Pastor Troy,12,1/03/2005,rap,southern hip hop,73%,83%,0,22%,68%,82,202
Dis Morning,Rocko,34,1/01/2008,rap,southern hip hop,41%,70%,0,20%,49%,96,225
Let Me Get Em,Soulja Boy,28,1/01/2007,rap,southern hip hop,65%,90%,0,45%,70%,169,201
6 Minutes (feat. Lil' Wayne & Fabolous),Cassidy,32,27/06/2005,rap,southern hip hop,40%,96%,1,47%,37%,16,386
Superhero,Tapemasters Inc and Gucci Mane,11,15/12/2009,rap,southern hip hop,71%,85%,1,31%,62%,145,117
Yeen Hard,T-Rock,1,30/10/2012,rap,southern hip hop,68%,58%,1,15%,51%,170,272
Blah Blah Blah,Rich Homie Quan,40,28/02/2014,rap,southern hip hop,70%,39%,0,28%,37%,133,192
Tell Em,Rich Homie Quan,43,9/12/2014,rap,southern hip hop,53%,63%,1,17%,30%,91,243
Foot Soldier,Rich Homie Quan,31,16/03/2018,rap,southern hip hop,77%,56%,1,37%,54%,143,162
Make It Rain,Fat Joe,54,14/11/2006,rap,southern hip hop,74%,70%,0,20%,77%,14,247
Swing My Door,Gucci Mane,42,11/12/2015,rap,southern hip hop,75%,49%,1,78%,24%,139,240
I Luv This Shit,August Alsina,61,1/01/2013,rap,southern hip hop,64%,59%,0,28%,41%,123,267
Mister (feat. 21 Savage),Young Nudy,52,24/04/2019,rap,southern hip hop,77%,59%,1,20%,23%,142,174
Bottom Of The Map,Jeezy,32,26/07/2005,rap,southern hip hop,75%,68%,1,28%,71%,154,261
"Undertaker (feat. Young Buck, Young Dro & DJ Drama)",T.I.,33,27/03/2006,rap,southern hip hop,62%,77%,1,35%,57%,153,253
Murder Man,Pastor Troy,47,1/03/2005,rap,southern hip hop,71%,77%,1,82%,24%,155,251
Yeah!!!,Pastor Troy,3,22/03/2011,rap,southern hip hop,72%,89%,1,11%,57%,133,230
Well Uh Huh,Pastor Troy,4,22/03/2011,rap,southern hip hop,68%,75%,1,26%,34%,16,225
Street Law,Pastor Troy,3,22/03/2011,rap,southern hip hop,80%,83%,1,23%,33%,150,210
No Mo Play In GA,Pastor Troy,6,22/03/2011,rap,southern hip hop,80%,90%,1,20%,94%,146,278
Ridin Big,Pastor Troy,5,22/03/2011,rap,southern hip hop,65%,83%,1,23%,64%,825,224
Tell 'Em I Said That,T.I.,35,12/06/2007,rap,southern hip hop,32%,87%,1,32%,42%,74,294
Raw,T.I.,33,12/06/2007,rap,southern hip hop,63%,78%,0,24%,54%,15,231
Told You So,T.I.,28,27/03/2006,rap,southern hip hop,58%,94%,1,44%,64%,155,262
Cry Me a River,Justin Timberlake,74,4/11/2002,rap,southern hip hop,62%,65%,0,18%,57%,73,288
My Love (feat. T.I.),Justin Timberlake,70,13/09/2006,rap,southern hip hop,77%,68%,0,22%,81%,119,276
LoveStoned / I Think She Knows Interlude,Justin Timberlake,51,13/09/2006,rap,southern hip hop,86%,71%,0,59%,85%,121,444
Rider,Future,32,17/01/2012,rap,southern hip hop,64%,68%,1,12%,34%,12,235
Intro,DJ Drama,19,15/06/2009,rap,southern hip hop,46%,82%,0,38%,39%,108,177
Make No Sense,YoungBoy Never Broke Again,84,11/10/2019,rap,southern hip hop,88%,73%,0,33%,96%,154,148
No Smoke,YoungBoy Never Broke Again,69,4/08/2017,rap,southern hip hop,66%,74%,0,31%,80%,143,160
Good Drank,2 Chainz,63,16/06/2017,rap,southern hip hop,84%,78%,0,24%,37%,130,222
"Here I Go (feat. Young Dro, Shad Da God, T.I., Spodee, Mystikal)",Hustle Gang,39,29/08/2013,rap,southern hip hop,86%,78%,0,84%,65%,120,310
Ran off on Da Plug Twice,Plies,53,29/01/2016,rap,southern hip hop,87%,44%,0,30%,40%,159,153
Top Back - Remix,T.I.,35,1/07/1905,rap,southern hip hop,61%,72%,0,26%,49%,160,264
Throw Your Flags Up,Pastor Troy,3,1/01/2001,rap,southern hip hop,29%,88%,1,34%,35%,86,364
Campfire Cologne,Demun Jones,41,24/03/2017,rap,southern hip hop,64%,83%,1,16%,51%,149,197
Old Train (feat. Struggle Jennings),Adam Calhoun,33,2/11/2018,rap,southern hip hop,61%,60%,0,30%,37%,80,201
Crossroads,Adam Calhoun,0,13/03/2018,rap,southern hip hop,77%,51%,0,88%,36%,79,156
Born Alone,Adam Calhoun,0,13/03/2018,rap,southern hip hop,55%,46%,1,67%,30%,127,169
Hourglass (feat. Struggle),Upchurch,33,15/01/2016,rap,southern hip hop,65%,53%,0,34%,38%,150,162
The Old Days (feat. Justin Adams),Upchurch,59,9/12/2016,rap,southern hip hop,63%,54%,1,32%,22%,13,234
Red White and Blue Jeans,Upchurch,43,9/12/2016,rap,southern hip hop,55%,92%,1,9%,76%,16,274
Rolling Stoned,Upchurch,65,9/12/2016,rap,southern hip hop,74%,51%,1,77%,20%,143,218
Livin' in a Country Song,Upchurch,46,18/10/2017,rap,southern hip hop,58%,71%,1,37%,63%,160,223
Tonight,Upchurch,52,18/10/2017,rap,southern hip hop,51%,58%,1,4%,4%,17,216
Tennessee Dreamin,Upchurch,40,18/10/2017,rap,southern hip hop,68%,70%,0,42%,35%,140,157
Loveless (feat. Robert James),Upchurch,40,18/10/2017,rap,southern hip hop,61%,55%,1,17%,52%,176,308
Radio Jam,Upchurch,41,18/10/2017,rap,southern hip hop,56%,61%,1,39%,28%,80,199
Buzz Won't Last,Upchurch,42,30/01/2018,rap,southern hip hop,58%,87%,1,40%,79%,75,179
Lord Knows (feat. Justin Adams),Upchurch,44,30/01/2018,rap,southern hip hop,77%,77%,1,89%,68%,129,192
How High,Upchurch,41,12/02/2018,rap,southern hip hop,72%,53%,0,32%,56%,140,220
Dirty South,Upchurch,55,12/02/2018,rap,southern hip hop,58%,46%,0,30%,36%,99,169
Bells,Upchurch,41,12/02/2018,rap,southern hip hop,53%,80%,0,39%,54%,166,203
Phantom of the Pines,Upchurch,40,12/02/2018,rap,southern hip hop,45%,85%,1,54%,39%,144,168
Smilin,Demun Jones,0,29/06/2018,rap,southern hip hop,44%,80%,1,15%,39%,153,200
God's Work,Demun Jones,0,29/06/2018,rap,southern hip hop,52%,54%,1,20%,53%,163,169
My Neck of the Woods,Upchurch,58,19/08/2018,rap,southern hip hop,71%,47%,0,90%,32%,155,202
No One,Upchurch,42,19/08/2018,rap,southern hip hop,68%,60%,0,91%,40%,147,226
Cowboy,Upchurch,54,19/08/2018,rap,southern hip hop,81%,48%,1,37%,40%,120,230
Lake House,Demun Jones,32,10/06/2014,rap,southern hip hop,71%,74%,1,55%,96%,79,232
Feeling Good,Demun Jones,51,19/01/2018,rap,southern hip hop,72%,64%,1,38%,64%,136,216
Paradise,Demun Jones,27,19/01/2018,rap,southern hip hop,75%,67%,1,58%,81%,9,193
The Beard Song,Demun Jones,28,19/01/2018,rap,southern hip hop,49%,51%,1,44%,43%,160,172
Death Before Dishonor,Jelly Roll,43,3/11/2017,rap,southern hip hop,66%,70%,1,16%,33%,75,198
Fifty,Franklin Embry,45,2/12/2016,rap,southern hip hop,74%,63%,1,30%,50%,113,221
The Dance,Struggle Jennings,49,20/11/2016,rap,southern hip hop,60%,73%,0,13%,43%,150,236
Same Asshole,Jelly Roll,58,15/04/2019,rap,southern hip hop,70%,74%,1,10%,47%,152,206
No Worries,Jelly Roll,35,15/04/2019,rap,southern hip hop,72%,52%,1,18%,28%,139,160
Double Crown,Jelly Roll,42,15/04/2019,rap,southern hip hop,73%,58%,0,39%,11%,125,177
Train Tracks (feat. Struggle),Jelly Roll,56,13/05/2016,rap,southern hip hop,70%,72%,1,51%,53%,87,209
In It for Yourself,Jelly Roll,28,13/05/2016,rap,southern hip hop,58%,78%,0,69%,36%,8,190
They Don't Love Me,Jelly Roll,26,13/05/2016,rap,southern hip hop,63%,78%,0,59%,66%,82,160
Killin' Me,Jelly Roll,42,13/05/2016,rap,southern hip hop,61%,67%,0,30%,25%,13,236
Lose Your Soul,Jelly Roll,30,13/05/2016,rap,southern hip hop,62%,85%,0,100%,47%,85,289
Dearly Departed,Jelly Roll,44,3/11/2017,rap,southern hip hop,80%,65%,0,11%,53%,11,229
Cowboys,Jelly Roll,54,3/11/2017,rap,southern hip hop,69%,67%,1,85%,48%,74,192
Long Long Time,Jelly Roll,37,3/11/2017,rap,southern hip hop,57%,70%,0,17%,29%,15,200
Be That Way,Jelly Roll,39,3/11/2017,rap,southern hip hop,67%,67%,1,6%,37%,143,246
Proud,Jelly Roll,38,3/11/2017,rap,southern hip hop,75%,68%,1,38%,26%,129,273
Fall in the Fall,Jelly Roll,61,23/03/2018,rap,southern hip hop,71%,78%,0,47%,37%,129,249
Can't Go Home,Jelly Roll,51,23/03/2018,rap,southern hip hop,69%,73%,1,10%,32%,119,229
Smoking Section,Jelly Roll,54,4/12/2015,rap,southern hip hop,66%,54%,1,51%,24%,8,248
I'm Still Here (feat. Corey Crowder),SMO,21,23/02/2018,rap,southern hip hop,84%,57%,0,28%,93%,101,182
Livin A Country Song (feat. Corey Crowder),SMO,24,23/02/2018,rap,southern hip hop,56%,84%,1,26%,91%,87,196
Cause We Can,SMO,19,23/02/2018,rap,southern hip hop,66%,73%,1,16%,46%,152,238
One (feat. Jay Allen),SMO,25,23/02/2018,rap,southern hip hop,73%,75%,1,13%,70%,157,215
When I'm Gone,I4NI,44,2/07/2013,rap,southern hip hop,68%,58%,1,11%,48%,144,279
1965,Danny Boone,46,10/06/2014,rap,southern hip hop,54%,83%,1,40%,74%,87,227
All They Wanna Hear,Danny Boone,27,10/06/2014,rap,southern hip hop,59%,64%,1,61%,75%,159,199
Down to the River,Danny Boone,20,10/06/2014,rap,southern hip hop,63%,77%,1,36%,78%,10,180
My Small Town,Danny Boone,30,10/06/2014,rap,southern hip hop,52%,69%,1,26%,65%,159,208
Don’t Take the Whiskey from Me,Danny Boone,38,10/06/2014,rap,southern hip hop,63%,65%,1,27%,41%,84,224
Who I Am,Danny Boone,21,10/06/2014,rap,southern hip hop,57%,62%,0,26%,34%,75,229
From the Radio,Danny Boone,21,10/06/2014,rap,southern hip hop,64%,72%,1,36%,71%,140,246
Raise a Toast,Danny Boone,21,10/06/2014,rap,southern hip hop,55%,58%,1,26%,54%,82,190
Let's Get Lost,Jelly Roll,28,5/04/2019,rap,southern hip hop,51%,76%,0,37%,51%,177,222
Sunday Morning,Jelly Roll,31,5/04/2019,rap,southern hip hop,66%,83%,1,27%,54%,170,209
